1/2007	one two thousand seventh
9/11	nine elevenths
84½	eighty four and a half
2/1	two over one
5/23	five twenty thirds
935/6	nine hundred thirty five sixths
24/7	twenty four sevenths
26/32	twenty six thirty seconds
3/32	three thirty seconds
2/32	two thirty seconds
1/32	one thirty second
150/2	one hundred fifty halves
460/464	four hundred sixty four hundred sixty fourths
1½	one and a half
7½	seven and a half
2/3	two thirds
4/10	four tenths
195/60	one hundred ninety five sixtieths
4/1	four over one
47/6	forty seven sixths
1/2	one half
2/5	two fifths
7/7	seven sevenths
350/400	three hundred fifty four hundredths
17/18	seventeen eighteenths
436/1044	four hundred thirty six one thousand forty fourths
100/200	one hundred two hundredths
3/1	three over one
9/1	nine over one
2/11	two elevenths
30/31	thirty thirty firsts
9/10	nine tenths
12/3	twelve thirds
-54/55	minus fifty four fifty fifths
15/ 2	fifteen halves
4/41	four forty firsts
175/6	one hundred seventy five sixths
4/5	four fifths
259/2014	two hundred fifty nine two thousand fourteenths
11/2010	eleven two thousand tenths
7/22	seven twenty seconds
3/4	three quarters
6/8	six eighths
12/30	twelve thirtieths
1/10	one tenth
10/19	ten nineteenths
24/7	twenty four sevenths
1¾	one and three quarters
5½	five and a half
1/2008	one two thousand eighth
5/2008	five two thousand eighths
9/2008	nine two thousand eighths
2/2009	two two thousand ninths
2/66	two sixty sixths
3/8	three eighths
10½	ten and a half
1/2	one half
144/145	one hundred forty four one hundred forty fifths
11/7	eleven sevenths
12/5	twelve fifths
5/15	five fifteenths
15/16	fifteen sixteenths
6/21	six twenty firsts
6/10	six tenths
4/3	four thirds
8/469	eight four hundred sixty ninths
30/30	thirty thirtieths
53/54	fifty three fifty fourths
-1/2	minus one half
-1/2	minus one half
54/400	fifty four four hundredths
2/5	two fifths
1/2009	one two thousand ninth
1/1976	one one thousand nine hundred seventy sixth
20/10	twenty tenths
200124/7	two hundred thousand one hundred twenty four sevenths
1998/13,000	one thousand nine hundred ninety eight thirteen thousandths
3/22	three twenty seconds
3/19	three nineteenths
20/20	twenty twentieths
1/200	one two hundredth
5/13	five thirteenths
1/5	one fifth
1/3	one third
6/24	six twenty fourths
143/2000	one hundred forty three two thousandths
243/2014	two hundred forty three two thousand fourteenths
390/391	three hundred ninety three hundred ninety firsts
10/2004	ten two thousand fourths
½	one half
1/2	one half
2 97/98	two and ninety seven ninety eighths
5/29	five twenty ninths
11/12	eleven twelfths
4 1/2	four and a half
6/34	six thirty fourths
9/16	nine sixteenths
33 1/3	thirty three and a third
3/2014	three two thousand fourteenths
20/20	twenty twentieths
23 / 2014	twenty three two thousand fourteenths
49/2	forty nine halves
208/3269	two hundred eight three thousand two hundred sixty ninths
5/16	five sixteenths
1¼	one and a quarter
75/100	seventy five one hundredths
990/12	nine hundred ninety twelfths
36/67	thirty six sixty sevenths
1/3	one third
1/10,000	one ten thousandth
18/36	eighteen thirty sixths
3/42	three forty seconds
8/19	eight nineteenths
21/22	twenty one twenty seconds
34/96	thirty four ninety sixths
33⅓	thirty three and a third
12½	twelve and a half
1/2	one half
5/8	five eighths
7/18	seven eighteenths
2008/785	two thousand eight seven hundred eighty fifths
1/3	one third
1 1/2	one and a half
9/10	nine tenths
2/3	two thirds
3/4	three quarters
9/5	nine fifths
3/29	three twenty ninths
3/1	three over one
2005/3464	two thousand five three thousand four hundred sixty fourths
50/50	fifty fiftieths
2/3	two thirds
3/4	three quarters
5818/20	five thousand eight hundred eighteen twentieths
5/0	five zeroths
5/8	five eighths
1 9/16	one and nine sixteenths
248/1946	two hundred forty eight one thousand nine hundred forty sixths
6/15	six fifteenths
1/2	one half
32/40	thirty two fortieths
2½	two and a half
2/10	two tenths
-625/1	minus six hundred twenty five over one
750/751	seven hundred fifty seven hundred fifty firsts
4/6	four sixths
2/3	two thirds
259/2014	two hundred fifty nine two thousand fourteenths
5/2003	five two thousand thirds
3369/1896	three thousand three hundred sixty nine one thousand eight hundred ninety sixths
3730/1898	three thousand seven hundred thirty one thousand eight hundred ninety eighths
98/1999	ninety eight one thousand nine hundred ninety ninths
22/1	twenty two over one
33 1/3	thirty three and a third
309/1994	three hundred nine one thousand nine hundred ninety fourths
1¼	one and a quarter
1⅛	one and an eighth
3/4	three quarters
82/100	eighty two one hundredths
1/2001	one two thousand first
62/180	sixty two one hundred eightieths
1/1997	one one thousand nine hundred ninety seventh
5/3	five thirds
11/15	eleven fifteenths
10/8	ten eighths
63/100	sixty three one hundredths
9/25	nine twenty fifths
21/22	twenty one twenty seconds
5/6	five sixths
3934/95	three thousand nine hundred thirty four ninety fifths
1908/3072	one thousand nine hundred eight three thousand seventy seconds
7268/1909	seven thousand two hundred sixty eight one thousand nine hundred ninths
7858/1910	seven thousand eight hundred fifty eight one thousand nine hundred tenths
3½	three and a half
10/30	ten thirtieths
68/100	sixty eight one hundredths
24/7	twenty four sevenths
1/10	one tenth
-1/2	minus one half
26/11	twenty six elevenths
1/2	one half
12995/12996	twelve thousand nine hundred ninety five twelve thousand nine hundred ninety sixths
2/3	two thirds
20/20	twenty twentieths
8/2	eight halves
2008/9	two thousand eight ninths
61/2	sixty one halves
2005/36	two thousand five thirty sixths
24/6	twenty four sixths
2013/39	two thousand thirteen thirty ninths
7/6	seven sixths
8/10	eight tenths
83/84	eighty three eighty fourths
8/26	eight twenty sixths
472/500	four hundred seventy two five hundredths
-56/1	minus fifty six over one
105/5	one hundred five fifths
1/2	one half
35/2010	thirty five two thousand tenths
62/100	sixty two one hundredths
10/1	ten over one
12933/2934	twelve thousand nine hundred thirty three two thousand nine hundred thirty fourths
2473/2474	two thousand four hundred seventy three two thousand four hundred seventy fourths
2907/2908	two thousand nine hundred seven two thousand nine hundred eighths
2/192	two one hundred ninety seconds
1/170	one one hundred seventieth
25/30	twenty five thirtieths
2010/816	two thousand ten eight hundred sixteenths
12/13	twelve thirteenths
996,000 3/4	nine hundred ninety six thousand and three quarters
2/4	two quarters
4/4	four quarters
2014/5	two thousand fourteen fifths
2½	two and a half
1720/21	one thousand seven hundred twenty twenty firsts
1974/29	one thousand nine hundred seventy four twenty ninths
9/11	nine elevenths
97/22	ninety seven twenty seconds
3/4	three quarters
6/2009	six two thousand ninths
4/2010	four two thousand tenths
1/4	one quarter
-1/2	minus one half
1/2	one half
16/5	sixteen fifths
22/5	twenty two fifths
5/18	five eighteenths
7/8	seven eighths
7/19	seven nineteenths
137/27	one hundred thirty seven twenty sevenths
3/1	three over one
3/4	three quarters
132/235	one hundred thirty two two hundred thirty fifths
3½	three and a half
11/2	eleven halves
1968/9	one thousand nine hundred sixty eight ninths
18½	eighteen and a half
9½	nine and a half
6 ½	six and a half
30/1502	thirty one thousand five hundred seconds
100/2	one hundred halves
433/434	four hundred thirty three four hundred thirty fourths
10/2008	ten two thousand eighths
243/2014	two hundred forty three two thousand fourteenths
850/1900	eight hundred fifty one thousand nine hundredths
3/4	three quarters
3/2008	three two thousand eighths
11 1/2	eleven and a half
1/10	one tenth
12/20	twelve twentieths
10/20	ten twentieths
100/8	one hundred eighths
24/7	twenty four sevenths
8½	eight and a half
2/3	two thirds
1/10	one tenth
7/71	seven seventy firsts
20/20	twenty twentieths
1980/1	one thousand nine hundred eighty over one
6/8	six eighths
12/30	twelve thirtieths
-3/2011	minus three two thousand elevenths
7/25	seven twenty fifths
6/24	six twenty fourths
1/2	one half
243/2014	two hundred forty three two thousand fourteenths
6/6	six sixths
24/7	twenty four sevenths
878/81	eight hundred seventy eight eighty firsts
3 1/2	three and a half
1/2	one half
-73071/3	minus seventy three thousand seventy one thirds
¾	three quarters
26/7	twenty six sevenths
93/95	ninety three ninety fifths
2/10	two tenths
4/5	four fifths
2/3	two thirds
12/23	twelve twenty thirds
-717/714	minus seven hundred seventeen seven hundred fourteenths
208/761	two hundred eight seven hundred sixty firsts
1/10	one tenth
4/17	four seventeenths
11/20	eleven twentieths
3 ½	three and a half
23 / 10	twenty three tenths
10 / 23	ten twenty thirds
5/6	five sixths
8/99	eight ninety ninths
6/8	six eighths
4/5	four fifths
9/94	nine ninety fourths
1/32	one thirty second
1/16	one sixteenth
1/8	one eighth
1/4	one quarter
4/5	four fifths
2/5	two fifths
9/11	nine elevenths
24/7	twenty four sevenths
132/2007	one hundred thirty two two thousand sevenths
2/9	two ninths
10/10	ten tenths
963/972	nine hundred sixty three nine hundred seventy seconds
1½	one and a half
2008/381	two thousand eight three hundred eighty firsts
1668/9	one thousand six hundred sixty eight ninths
0/2	zero halves
3/4	three quarters
1/3	one third
151/20	one hundred fifty one twentieths
14/15	fourteen fifteenths
40/50	forty fiftieths
67/1	sixty seven over one
4/22	four twenty seconds
-760/761	minus seven hundred sixty seven hundred sixty firsts
4/16	four sixteenths
4/10	four tenths
18/19	eighteen nineteenths
0/5100	zero five thousand one hundredths
71/2	seventy one halves
1/85	one eighty fifth
2008/124	two thousand eight one hundred twenty fourths
13/17	thirteen seventeenths
11½	eleven and a half
1/3	one third
1/4	one quarter
4/4	four quarters
1251/60	one thousand two hundred fifty one sixtieths
79/117	seventy nine one hundred seventeenths
1 1/2	one and a half
2009/712	two thousand nine seven hundred twelfths
9/11	nine elevenths
3/4	three quarters
7/28	seven twenty eighths
4/4	four quarters
9/8	nine eighths
11/1	eleven over one
2/78	two seventy eighths
4/5	four fifths
5/101	five one hundred firsts
7/24	seven twenty fourths
13/14	thirteen fourteenths
1/10	one tenth
20/20	twenty twentieths
3/4	three quarters
2006/7	two thousand six sevenths
4½	four and a half
2/8	two eighths
1/4	one quarter
224/226	two hundred twenty four two hundred twenty sixths
-5/1935	minus five one thousand nine hundred thirty fifths
14/1986	fourteen one thousand nine hundred eighty sixths
1997 / 7	one thousand nine hundred ninety seven sevenths
91/396	ninety one three hundred ninety sixths
9½	nine and a half
12/1	twelve over one
1511/12	one thousand five hundred eleven twelfths
3½	three and a half
15/16	fifteen sixteenths
3/19	three nineteenths
4/4	four quarters
3/15	three fifteenths
315/1	three hundred fifteen over one
319/1	three hundred nineteen over one
9/10	nine tenths
10/16	ten sixteenths
1/4	one quarter
1/5	one fifth
1/5	one fifth
24/7	twenty four sevenths
24/7	twenty four sevenths
1/5	one fifth
1/5	one fifth
339/340	three hundred thirty nine three hundred fortieths
9/6	nine sixths
25/32	twenty five thirty seconds
1968 6/7	one thousand nine hundred sixty eight and six sevenths
6/7	six sevenths
3/7	three sevenths
31/40	thirty one fortieths
1 1/2	one and a half
255/40	two hundred fifty five fortieths
285/35	two hundred eighty five thirty fifths
259/2014	two hundred fifty nine two thousand fourteenths
1/3	one third
2/6	two sixths
5/23	five twenty thirds
79/100	seventy nine one hundredths
23/24	twenty three twenty fourths
1986/7	one thousand nine hundred eighty six sevenths
12/85	twelve eighty fifths
36/37	thirty six thirty sevenths
3/5	three fifths
10/22	ten twenty seconds
9/11	nine elevenths
24/119	twenty four one hundred nineteenths
15/6	fifteen sixths
2121/2101	two thousand one hundred twenty one two thousand one hundred firsts
-370/90	minus three hundred seventy ninetieths
11/6	eleven sixths
5/2016	five two thousand sixteenths
10/2016	ten two thousand sixteenths
1989 1/10	one thousand nine hundred eighty nine and a tenth
16/2	sixteen halves
133/1	one hundred thirty three over one
44/1971	forty four one thousand nine hundred seventy firsts
9/11	nine elevenths
6/1	six over one
33/34	thirty three thirty fourths
52/53	fifty two fifty thirds
-1/2	minus one half
81/23	eighty one twenty thirds
24/7	twenty four sevenths
8/24	eight twenty fourths
1220/1	one thousand two hundred twenty over one
1/144	one one hundred forty fourth
259/2014	two hundred fifty nine two thousand fourteenths
-1/2	minus one half
166/16815	one hundred sixty six sixteen thousand eight hundred fifteenths
1964/488	one thousand nine hundred sixty four four hundred eighty eighths
1/3	one third
1/3	one third
20/2000	twenty two thousandths
-211/191	minus two hundred eleven one hundred ninety firsts
-95/80	minus ninety five eightieths
8/42	eight forty seconds
19/12	nineteen twelfths
10/2006	ten two thousand sixths
1/49	one forty ninth
1/1000000	one one millionth
2½	two and a half
1/80	one eightieth
¼	one quarter
½	one half
1957/61	one thousand nine hundred fifty seven sixty firsts
10/18	ten eighteenths
11/2013	eleven two thousand thirteenths
21/2009	twenty one two thousand ninths
4¼	four and a quarter
1/8	one eighth
39/2009	thirty nine two thousand ninths
341/340	three hundred forty one three hundred fortieths
2½	two and a half
1/10	one tenth
142/1990	one hundred forty two one thousand nine hundred ninetieths
56/2014	fifty six two thousand fourteenths
½	one half
22/198720	twenty two one hundred ninety eight thousand seven hundred twentieths
1946/47	one thousand nine hundred forty six forty sevenths
1988/89	one thousand nine hundred eighty eight eighty ninths
114/2015	one hundred fourteen two thousand fifteenths
259/2014	two hundred fifty nine two thousand fourteenths
19/20	nineteen twentieths
11/3	eleven thirds
18/3	eighteen thirds
72/3	seventy two thirds
9/6	nine sixths
10/11	ten elevenths
1½	one and a half
3/7	three sevenths
24/7	twenty four sevenths
6/7	six sevenths
1/20	one twentieth
1/100	one one hundredth
1/2007	one two thousand seventh
1964 1/2	one thousand nine hundred sixty four and a half
1964 1/2	one thousand nine hundred sixty four and a half
6 1/3	six and a third
1983/4	one thousand nine hundred eighty three quarters
663/664	six hundred sixty three six hundred sixty fourths
16/34	sixteen thirty fourths
76/100	seventy six one hundredths
1/60	one sixtieth
2/48	two forty eighths
10/9	ten ninths
64/100	sixty four one hundredths
6/8	six eighths
5/7	five sevenths
88/388	eighty eight three hundred eighty eighths
1/10	one tenth
18½	eighteen and a half
32/33	thirty two thirty thirds
7/10	seven tenths
9/11	nine elevenths
